,band,max_ref
var1_2020_x75y20_8000_us_2x_2022-04-26T122543_corr,106,26442.41347207587
var2_2020_x73y16_8000_us_2x_2022-04-26T104203_corr,106,25762.473703898842
var2_2020_x73y16_8000_us_2x_2022-04-26T110106_corr,106,26194.764631190727
var3_2020_x77y15_8000_us_2x_2022-04-27T084904_corr,106,25236.421559536353
var3_2020_x77y15_8000_us_2x_2022-04-27T085658_corr,106,25477.160806111697
var4_2020_x82y12_8000_us_2x_2022-04-27T092007_corr,106,26100.54386195996
var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr,106,25411.819457323498
var5_x72y18_8000_us_2x_2022-04-26T090114_corr,106,25652.179673340357
var5_x72y18_8000_us_2x_2022-04-26T091027_corr,106,26224.20390410959
var6_2020_x80y20_8000_us_2x_2022-04-27T080312_corr,106,25759.136127502636
var7_x82y19_8000_us_2x_2022-04-26T083429_corr,106,25500.7089199157
var6_2020_x80y20_8000_us_2x_2022-04-27T081116_corr,106,25800.8806743941
var7_x82y19_8000_us_2x_2022-04-26T084832_corr,106,25980.601791359324
var8_2020_x74y17_8000_us_2x_2022-04-27T082434_corr,106,25925.63239199157
var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr,106,25719.54345626976
var1_2020_x75y20_8000_us_2x_2022-04-26T130045_corr,106,25431.90316122234
